60;DOR;± def on relatives;+DGR, +FRC;DOR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;0;0;0;DOR;60;;;;;;;;;;;;;;;;;;;;
61;FFP;± feature spread to particles;+FGN, (+LKA or +LKP or +LKO or +GAD), ¬+GFP;FFP;-;-;-;-;-;-;-;-;0;0;0;0;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;+;+;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;-;-;+;0;0;0;FFP;61;;;;;;;;;;;;;;;;;;;;
62;NUP;± NP under non-genitive arguments;+FGP, (+CSE or +LKA or +LKO);NUP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;0;0;0;0;-;-;0;0;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;NUP;62;;;;;;;;;;;;;;;;;;;;
63;PNP;± complement under P;+FGP, -CSE or -NUP;PNP;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;-;0;0;0;0;0;0;+;+;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;PNP;63;;;;;;;;;;;;;;;;;;;;
64;NUD;± NP under D;+FGP;NUD;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;+;+;+;NUD;64;;;;;;;;;;;;;;;;;;;;
65;NUC;± N under cardinals;¬+UST, +PNP, +NUD;NUC;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;NUC;65;;;;;;;;;;;;;;;;;;;;
66;NM1;± N under M1 As;+NUC;NM1;-;-;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NM1;66;;;;;;;;;;;;;;;;;;;;
67;NM2;± N under M2 As;+NM1;NM2;0;0;-;-;-;-;-;-;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NM2;67;;;;;;;;;;;;;;;;;;;;
68;NUA;± N under As;+NM2;NUA;0;0;0;0;0;0;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NUA;68;;;;;;;;;;;;;;;;;;;;
69;NGO;± N under GenO;(+FGP, +UST) or +NUA, (+GUN or +GFO or +PGO);NGO;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;-;0;-;0;0;0;0;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NGO;69;;;;;;;;;;;;;;;;;;;;
70;EAF;± fronted high As;-NM1;EAF;-;-;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EAF;70;;;;;;;;;;;;;;;;;;;;
71;ACM;± class MOD;-ARR, -NGO;ACM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;-;0;0;0;0;-;-;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ACM;71;;;;;;;;;;;;;;;;;;;;
72;DSN;± def spread to N;+DCN;DSN;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;-;-;+;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DSN;72;;;;;;;;;;;;;;;;;;;;
73;DSA;± def spread to ARR;+DGR, +ARR;DSA;-;-;-;-;-;-;-;-;-;-;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;DSA;73;;;;;;;;;;;;;;;;;;;;
74;DSS;± def spread to structural categories;+DGR, (-ARR or +DSA);DSS;0;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;+;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;+;+;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DSS;74;;;;;;;;;;;;;;;;;;;;
75;DOC;± def on cardinals;-NWD, +DCN, +NUC;DOC;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DOC;75;;;;;;;;;;;;;;;;;;;;
76;NEX;± Proper names in D;(-FSN or -CGR), -NWD, ¬+NUA;NEX;+;+;+;+;+;+;+;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;-;0;0;NEX;76;;;;;;;;;;;;;;;;;;;;
77;PEX;± Personal proper names in D;+NEX;PEX;+;-;+;+;+;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;PEX;77;;;;;;;;;;;;;;;;;;;;
78;FEX;± Partial personal proper names in D;+PEX;FEX;+;0;+;+;+;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;FEX;78;;;;;;;;;;;;;;;;;;;;
79;PDC;± D-checking possessives;+DGR, (¬-CGR or -NWD), ¬+GFP;PDC;-;-;-;+;-;+;+;-;-;-;-;-;0;0;0;0;0;+;0;0;-;-;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;PDC;79;;;;;;;;;;;;;;;;;;;;
